,titolo,autore,descrizione
44,Yankee Pasha (novel),Edison Marshall,"Yankee Pasha is a historical novel written by Edison Marshall and published in 1947, the full title is Yankee Pasha-The Adventures of Jason Starbuck. < ref >  < /ref > < ref >  < /ref > < ref >  < /ref > < ref >  < /ref > 
 
 It is suggested that Yankee Pasha is probably Marshall's best-known work < ref > & pg=PA480 & lpg=PA480 & dq=yankee+pasha+1947 & source=bl & ots=M1JlGVoE5v & sig=FS-qtAo0e-DmLdcB-5ttvCmyBPg & hl=en & sa=X & ei=xalDULzOGonNtAbAooDQBQ & ved=0CDIQ6AEwAQ#v=onepage & q=yankee%20pasha%201947 & f=false Edison Tesla Marshall in the Science Fiction: The Early Years by Everett F. Bleiler, Kent State University Press, Ohio, 1990. < /ref > < ref >  < /ref >  and one of the most popular. < ref >  < /ref > < ref > Edison Marshall's Biography at The New York Times < /ref >  Yankee Pasha was indeed very popular and has seen seven different editions with many separate printings between 1947 and 1975 in the U.S.A. and Europe. < ref >  < /ref > < ref >  < /ref > < ref > & redir_esc=y Yankee Pasha 1975 Edition < /ref >  Upon initial publication, the book received positive reviews including that of Fletcher Pratt, the American writer particularly noted for his works on naval history, that appeared in the December 6, 1947 issue of the Saturday Review. < ref >  < /ref > 
 
 As in most of the novels of Edison Marshall, readers informed about local history and names can see references to his past life in Oregon in Yankee Pasha. < ref >  < /ref > 
 
 One of the paperback covers of the book was realized by the American realist artist James Bama < ref > James Bama: American Realist < /ref >  and another one was made by famous paperback book cover artist Robert Stanley. < ref >  < /ref > < ref > At PulpCovers.Com: Yankee Pasha Paperback Cover By Robert Stanley < /ref > 
 
 The book is made into a film in 1954, Yankee Pasha, starring Jeff Chandler and Rhonda Fleming, and featuring Mamie Van Doren. It was released by Universal Pictures. < ref >  < /ref > < ref >  < /ref > < ref >  < /ref > 
 
 "
45,Anticipations,Chapman  &  Hall,"Anticipations of the Reaction of Mechanical and Scientific Progress upon Human Life and Thought, generally known as Anticipations, was written by H.G. Wells at the age of 34. He later called the book, which became a bestseller,  "" the keystone to the main arch of my work. "" < ref > Norman and Jeanne Mackenzie, H.G. Wells: A Biography (New York: Simon and Schuster, 1973), p. 161. < /ref >  His most recent biographer, however, calls the volume  "" both the starting point and the lowest point in Wells's career as a social thinker. "" < ref > Michael Sherborne, H.G. Wells: Another Kind of Life (Peter Owen, 2010), pp. 151-52). < /ref > 
 
 Taking the revolution in transport facilitated by the  "" mechanical revolution ""  as his point of departure, Wells told readers they were living through a reorganization of human society that would alter every dimension of life.  An academic biographer has described the degree of accuracy of Wells's predictions as  "" certainly phenomenal. "" < ref > David C. Smith, H.G. Wells: Desperately Mortal: A Biography (New Haven and London: Yale University Press, 1986), p. 92. < /ref > 
 
 The chapters of Anticipations appeared in Great Britain in the Fortnightly Review (April–December 1901) and in the United States in the North American Review (June–November 1901), and were published as a book in November 1901.  Anticipations was  "" Wells's first non-fiction bestseller. "" < ref > David C. Smith, H.G. Wells: Desperately Mortal: A Biography (New Haven and London: Yale University Press, 1986), p. 91. < /ref >  The volume was reissued by Chapman and Hall in 1914, on the eve of World War I. 
 
 "
46,"City of Light, City of Dark",Brian Floca,"City Of Light, City Of Dark is a comic book novel written by Newbery Medal-winning author Avi, and was the first book ever to be illustrated by Brian Floca. < ref name= "" Brian_Floca_first "" >  < /ref >  Additional Spanish translations were done by Jose Aranda and Anthony Trujillo. The book's title is probably inspired by the summer and winter solstices, the  "" lightest ""  and  "" darkest ""  days of the year. These two days also mark two pivotal events in the Kurbs'  "" ritual cycle of acknowledgment "" . Alternatively, since the story is set in New York,  "" City Of Light ""  could refer to one of the many cities of light. 
 
 "
47,The Space Between Us (novel),English language," 
 The Space Between Us takes place in present-day India and centers on two women: Serabai (Sera) Dubash, an upper-middle-class, Parsi widow, and her domestic servant of more than twenty years, Bhima. Now sixty-five years old, illiterate Bhima lives in the slums of Mumbai with her pregnant, unwed granddaughter, the seventeen-year-old Maya, whose college tuition is paid for by Sera. Through flashbacks, Bhima remembers her husband, who, after a work-related accident caused him to lose three fingers, became an alcoholic and abandoned her, taking their son Amit with him. She also remembers her daughter Pooja, who married, but died of AIDS together with her husband, leaving Maya an orphan at a young age. 
 
 Since the sudden death of her physically abusive husband three years ago, Sera has cared for her disabled mother-in-law, who had insisted on isolating her from the family when Sera was menstruating. Sera also tends to her pregnant daughter Dinaz, and pays for  Maya's abortion. A while later,  Maya reluctantly tells Bhima that Dinaz's husband Viraf impregnated her and told her to keep it a secret so that she could continue her education and Bhima could keep her job. Angered, Bhima confronts Viraf, and he later accuses her of stealing  from the cupboard. Sera dismisses her, unable to listen to Bhima's hints about Viraf's actions towards Maya. Bhima leaves, and recalling a balloon seller whom she had admired, buys  worth of balloons and goes to the seaside. She resolves to deal with tomorrow. 
 
 "
48,The Fallen Leaves (book),Christian Socialist,"The Fallen Leaves is an 1879 novel by Wilkie Collins. < ref > https://books.google.com/books?id=a_MBAAAAQAAJ & dq=the+fallen+leaves+wilkie+collins & source=gbs_navlinks_s Google Books < /ref >  It details Amelius Goldenheart, an American Christian Socialist's, sojourn to England after exile from his Utopian commune, and his difficulties when elements of his past life resurface. The book was dedicated to Caroline Graves. < ref > https://www.wilkie-collins.info/books_fallen_leaves.htm WC < /ref > < ref > https://jhrusk.github.io/wc/plot/leavesplot.html JHusk < /ref > 
 
 "
49,The Mystery of the Brass Bound Trunk,Nancy Drew stories,"The Mystery of the Brass Bound Trunk is the seventeenth volume in the Nancy Drew Mystery Stories series, published under the pseudonym Carolyn Keene. < ref > https://www.scholastic.com/teachers/books/mystery-of-the-brass-bound-trunk-by-carolyn-keene/ < /ref >  It was first published in 1940 by Grosset  &  Dunlap and was extensively revised for publication in 1976. 
 
 "
50,God and Man at Georgetown Prep,Hookup culture,"God and Man at Georgetown Prep: How I Became a Catholic Despite 20 Years of Catholic Schooling is a 2005 memoir about Catholic school, alcoholism, binge drinking, and hookup culture at Georgetown Preparatory School, written by Mark Gauvreau Judge. < ref name=wp / > < ref name=chantal / >  The name of the book is a reference to conservative writer William F. Buckley Jr.'s 1951 college memoir God and Man at Yale. Judge had previously written a 1997 memoir about the same institution, Wasted: Tales of a GenX Drunk. < ref name=petermaas / > < ref name=newman / >  He would go on to publish a third book about Catholicism in 2010, A Tremor of Bliss. < Ref name=jeremylott / > 
 
 The author details rampant alcohol abuse at Georgetown Preparatory School, including downing beers with a music teacher from the school, while the teacher was entertained by a stripper. < ref name=wp / > < ref name=chantal / > < ref name=velshi / >  The author recounts a  "" 100 Kegs or Bust ""  challenge, where the goal was to consume 100 kegs of beer before the end of the school year. < ref name=landers / > < ref name=annapalmer / >  Judge chronicles his exit from religiousness, followed by a return to Catholicism later in life. < ref name=christianitytoday / > < ref name=mccloskey / >  He criticizes those who diverge from traditional Catholicism and advocates for a return to more stringent religious practices. < ref name=christianitytoday / > 
 
 Judge's book garnered reviews from multiple publications including Publishers Weekly, < ref name=publishersgod / >  First Things, < ref name=firstthings / >  Christianity Today, < ref name=christianitytoday / >  and the National Catholic Register. < ref name=mccloskey / >  Publishers Weekly called the book  "" a humorous, edgy look ""  at the author's Catholic school experiences. < ref name=publishersgod / >  First Things called it  "" a compelling account "" . < ref name=firstthings / >  Christianity Today recommended the book as  "" a model for an intellectual life "" . < ref name=christianitytoday / >  National Catholic Register characterized the work as a  "" wonderful and ultimately hopeful book "" . < ref name=mccloskey / >  Jerry Oppenheimer wrote in his 2015 book, RFK Jr. that Judge's book significantly affected Georgetown Preparatory School. < Ref name=oppenheimer / >  Oppenheimer commented that the book  "" caused quite a storm "" , due to its revelation by Judge that  "" alcoholism was rampant ""  at the school. < ref name=oppenheimer / > 
 
 God and Man at Georgetown Prep received increased attention in 2018 during the Brett Kavanaugh Supreme Court nomination in the wake of statements by psychologist Christine Blasey Ford that implicated Brett Kavanaugh and Mark Judge in possible sexual assault. < ref name=jeremystahl/ > < ref name=deannapaul / > < ref name=newzealand / >  Demand for Judge's work significantly increased after reporting by The Washington Post on his books and the statements by Ford. < ref name=cummings / >  The price of the book rose to US$550 in Internet purchases. < ref name=cummings / >  In the wake of the increased attention to student alcohol consumption, the president of Georgetown Preparatory School released a public letter saying he was trying to change the situation. < ref name=stableford / > 
 
 "
51,The Autobiography of a Super-Tramp,W. H. Davies,"The Autobiography of a Super-Tramp  is an autobiography published in 1908 by the Welsh poet and writer W. H. Davies (1871–1940). A large part of the book's subject matter describes the way of life of the tramp in the United Kingdom, Canada and the United States in the final decade of the 19th century. 
 
 "
52,Martindale: The Complete Drug Reference,drug,"Martindale: The Complete Drug Reference is a reference book published by Pharmaceutical Press listing some 6,000 drugs and medicines used throughout the world, including details of over 180,000 proprietary preparations. It also includes almost 700 disease treatment reviews. It was first published in 1883 under the title Martindale: The Extra Pharmacopoeia. 
 Martindale contains information on drugs in clinical use worldwide, as well as selected investigational and veterinary drugs, herbal and complementary medicines, pharmaceutical excipients, vitamins and nutritional agents, vaccines, radiopharmaceuticals, contrast media and diagnostic agents, medicinal gases, drugs of abuse and recreational drugs, toxic substances, disinfectants, and pesticides. 
 
 "
53,The Human Factor: Revolutionizing the Way We Live with Technology,book,"The Human Factor: Revolutionizing the Way People Live with Technology () is a book by Kim Vicente that Routledge published in 2004. Vicente asserts (as cited in the Optimize article listed in the  "" References ""  section) technology in such constructs as hospitals, airplanes, and nuclear power plants have significant room for improvement.  Some of the specific industrial accidents Vicente analyzes are the Walkerton Tragedy and  the Chernobyl Disaster.  Also, for medical error, he details many fatal vincristine dosage errors. 
 
 "
54,Harpsong,Rilla Askew,"Harpsong is a novel by Rilla Askew published in 2007. It is volume one in Oklahoma Stories and Storytellers, from University of Oklahoma Press. 
 
 Harpsong received the Oklahoma Book Award, the Western Heritage Award, the WILLA Literary Award from Women Writing the West, and the Violet Crown Award from the Writers' League of Texas in 2008. 
 
 Harpsong tells the story of Harlan Singer and his teenage wife Sharon, on the road in the midwest during the Great Depression. 
 
 "
55,Juggler of Worlds,Stephan Martinière,"Juggler of Worlds (2008) is a science fiction novel by American writers Larry Niven and Edward M. Lerner, a sequel  to their Fleet of Worlds. < ref >  < /ref > < ref >  < /ref > 
 
 It is set in the Known Space universe. Most of the book revisits earlier stories (the Beowulf Shaeffer stories in Crashlander from the points of view of Sigmund Ausfaller and several Pierson's Puppeteers, and  "" The Soft Weapon ""  and parts of Fleet of Worlds from the point of view of Nessus).  The novel also severely revises the established knowledge of the Outsider race. The final quarter of the book returns to the setting of Fleet of Worlds. 
 
 "
56,The Grief Keeper,G. P. Putnam's Sons,"The Grief Keeper is a science fiction novel for young adults written by Alexandra Villasante. The book was published in 2019 by Putnam and received the Lambda Literary Award in the following year. 
 
 The book tells the story of two sisters from El Salvador, Marisol and Gabi, who flee from an immigrant detention center on the American border, with the older sister, Marisol, being forced to participate in an experimental procedure or risk being deported. 
 
 "
57,Gentlemen  &  Players,Psychological suspense novel,"Gentlemen  &  Players is a novel by Joanne Harris first published in 2005. A dark psychological thriller, some of the themes may be partly based on Harris' experiences as a teacher at Leeds Grammar School. Set in the present day during Michaelmas term at St Oswald's, a grammar school for boys somewhere in the North of England, the book is a psychological thriller about class distinctions, damaged childhood, secrets, identity and revenge. 
 
 "
58,Moment in Peking,English language,"Moment in Peking is a novel originally written in English by Chinese author Lin Yutang.  The novel, Lin's first, covers the turbulent events in China from 1900 to 1938, including the Boxer Uprising, the Republican Revolution of 1911, the Warlord Era, the rise of nationalism and communism, and the start of the Sino-Japanese War of 1937-1945. 
 
 "
